name,phone,address,gender,student_id,email
Vincent Wong,001-337-983-8784x052,"1109 Heather Course Suite 906, West Jessica, WY 27526",male,vw240,vw240@upc.edu
Amanda Chapman,(315)262-9669x70191,"91075 Philip Radial, East Sarahport, MS 70070",female,ac471,ac471@upc.edu
Matthew Shaw,536-583-8412x37892,"5980 Joshua Spring, Curtisland, NH 30961",male,ms784,ms784@upc.edu
Jamie Clay,001-826-660-8261x1022,"28574 Nelson Course Suite 884, West Robertmouth, PR 21606",female,jc395,jc395@upc.edu
Matthew Baker,561-210-8109,"846 Deborah Extensions, Mandyville, RI 10215",male,mb477,mb477@upc.edu
Andrew Blankenship,(328)644-1538x6669,"86444 Yang Place, South Karenland, IN 92945",male,ab681,ab681@upc.edu
Joshua Clark,+1-864-616-0476x55898,"05895 Megan Parkways Suite 847, Martinezstad, FM 36079",male,jc911,jc911@upc.edu
Jason Carter,656.587.6584,"USNV Barber, FPO AE 39693",male,jc632,jc632@upc.edu
Tonya Byrd,001-206-337-0405x67326,"714 Kyle Loaf Suite 484, Sandraberg, ND 76774",female,tb207,tb207@upc.edu
Jill Powers,519.854.3451,"5402 Preston Summit Suite 903, Donfurt, VT 74877",female,jp912,jp912@upc.edu
Anthony Hernandez,(682)837-9759x781,"382 Proctor Motorway, Scottstad, FM 19473",male,ah573,ah573@upc.edu
Elizabeth Parker,+1-602-943-3965x221,"12263 Meyer Curve, Gibbsmouth, WI 56992",female,ep413,ep413@upc.edu
Miguel Mcbride,633.548.8429x6786,"6733 Andrea Ports, Williamsfurt, NM 07134",male,mm624,mm624@upc.edu
Eddie Reynolds,579-590-5378x044,"45255 Weeks Canyon, Port Jerryborough, CO 05165",male,er305,er305@upc.edu
Ann Edwards,001-647-425-4669x6987,"387 Tyler Rue, Lucasmouth, PW 41667",female,ae573,ae573@upc.edu
Amanda Hansen,8168300855,"49352 Alexis Isle Suite 833, Stevenfurt, WI 79682",female,ah649,ah649@upc.edu
Nichole Kelly,(296)239-5093,"16013 Knight Plaza, Rossfurt, VA 25750",female,nk135,nk135@upc.edu
Lisa Sanders,(591)558-4007,"086 Tiffany Corners, East Daniel, FL 58521",female,ls556,ls556@upc.edu
Dawn Johnson,944-450-5531,"PSC 0230, Box 6035, APO AP 70934",female,dj583,dj583@upc.edu
Justin Cervantes,424-231-1730x452,"491 Hines Park Apt. 667, Thompsonmouth, MN 21642",male,jc705,jc705@upc.edu
William Lopez,001-502-858-3413x219,"28420 Rivera Brook Apt. 149, New Megan, TN 60165",male,wl956,wl956@upc.edu
Michael Chandler,409.796.2083,"777 Santiago Center, North Sarah, LA 45311",male,mc482,mc482@upc.edu
Jessica Landry,(664)734-0118,"4362 Ernest Trafficway, North Williamfort, WA 69018",female,jl242,jl242@upc.edu
Jacob Lowery,352-433-6612x9846,"566 Jason Vista Suite 970, Angelicafurt, KS 94531",male,jl523,jl523@upc.edu
Stephanie Jordan,5236947639,"153 Benitez Ramp Suite 796, Samuelmouth, ID 85022",female,sj457,sj457@upc.edu
Belinda Rodriguez,210.405.0311x3884,"6540 Lara Trace, Shaneton, WY 94403",female,br149,br149@upc.edu
Kaitlyn Barker,(931)716-2371x242,"Unit 6737 Box 0523, DPO AA 47439",female,kb162,kb162@upc.edu
Justin Arellano,(623)350-4151,"879 James Via, Port Sean, OK 56021",male,ja307,ja307@upc.edu
Madison House,+1-489-524-2425x1784,"5087 Adams Square, Port Elizabeth, VA 09257",female,mh398,mh398@upc.edu
Amanda Williams,229-773-2407,"730 Simon Knoll, Robertchester, IN 49097",female,aw107,aw107@upc.edu
Todd Clark,+1-558-850-2787,"10483 Wilson Springs Suite 701, North Karen, WY 51730",male,tc585,tc585@upc.edu
Jennifer Leblanc,257-934-5175,"64791 Tamara Expressway, Gibsonview, CA 66800",female,jl677,jl677@upc.edu
Stephanie Gibson,239.674.9356x807,"67885 Isabel Gateway, South Williamhaven, NH 42806",female,sg214,sg214@upc.edu
Daniel Torres,900.785.0393x081,"41694 Rodriguez Spur, South Sandra, CO 72474",male,dt976,dt976@upc.edu
Tracey Crawford,3337773920,"0443 Walker Ports Apt. 846, Brandonberg, PW 23831",female,tc296,tc296@upc.edu
Victor Bishop,001-725-891-0294,"107 Hansen Union Suite 965, Christopherport, TN 34461",male,vb532,vb532@upc.edu
Jason Huffman,+1-218-240-0327x00211,"81415 Christopher Underpass Apt. 615, Robertfort, NY 04152",male,jh896,jh896@upc.edu
John Andrews,8685253142,"101 Jeffery Station Apt. 066, West Richardshire, NV 98831",male,ja202,ja202@upc.edu
Megan Bates,653-721-5304x70091,"7128 Nathan Points, East Taylorberg, IA 66765",female,mb654,mb654@upc.edu
Eric Mcintosh,(632)242-0127x473,"71324 Kerr Trail Apt. 253, Port Aliceview, WA 56179",male,em254,em254@upc.edu
Terry Brown,640-805-6497,"784 Katelyn Skyway Suite 124, Ramirezshire, NH 46418",male,tb106,tb106@upc.edu
Aaron Burton,(480)257-3310x400,"30962 Mckinney Villages Apt. 439, Lake Tiffanychester, FM 15969",male,ab438,ab438@upc.edu
Thomas Smith,8339748435,"67571 Lauren Mountains, New Nicolebury, IN 51169",male,ts857,ts857@upc.edu
Joshua Vasquez,9466902362,"84787 Griffin Pike, Brockfurt, OK 76056",male,jv980,jv980@upc.edu
Brittany Stephenson,810-661-1228x510,"705 Shannon Trail Suite 384, Johnsonmouth, FL 80056",female,bs678,bs678@upc.edu
Lisa Perez,(401)395-1939x852,"30285 Monique Ville Suite 824, North Kimberlyburgh, SC 46723",female,lp189,lp189@upc.edu
Jeanette Tyler,+1-618-247-8728x9630,"54791 Howell Crescent, North Jeremiah, VA 79285",female,jt831,jt831@upc.edu
John Ellis,987-670-8331,"07619 White Court, Brittneyland, OR 99260",male,je563,je563@upc.edu
Dean Young,3156028956,"748 Patterson Pines Apt. 762, New Michelleport, GU 21485",male,dy286,dy286@upc.edu
Monica Campbell,321-361-7649x82909,"95082 Thomas Stravenue Apt. 128, Dawnborough, OH 50935",female,mc666,mc666@upc.edu
Cody Rodriguez,(665)873-6660,"2239 Matthews Pine Apt. 108, New Steven, DE 22097",male,cr456,cr456@upc.edu
Bruce Cline,+1-354-834-3154x942,"271 Lance Crossing, Stephanieberg, IA 91585",male,bc732,bc732@upc.edu
Brooke Burton,787-418-7234x521,"0403 Oneill Extensions, East Johnhaven, SC 37342",female,bb456,bb456@upc.edu
Debra Simon,357-879-3243,"2562 Stephen Fields, North Tonyafurt, WY 90644",female,ds840,ds840@upc.edu
Christine Bush,398.576.5888x19756,"243 Kyle Trafficway, Lake Barbaraport, AL 29419",female,cb237,cb237@upc.edu
