name,phone,address,gender,student_id,email,year,department
Donald Contreras,9208625450,"478 Mooney Park, New Valerie, VI 28836",male,dc525,dc525@upc.edu,1,POSC
Joseph Horton,9886408555,"037 Matthew Shores, Greeneton, CA 98399",male,jh502,jh502@upc.edu,2,RELG
Savannah Burns,9047592659,"96124 Lloyd Streets, Edwardmouth, DC 61677",female,sb577,sb577@upc.edu,1,PHAS
William Carter,9048473864,"11959 Clark Village, Ivanview, NH 43940",male,wc352,wc352@upc.edu,3,PBSC
John Rodriguez,9685225730,"051 Weaver Glen Apt. 724, West Davidborough, MT 06034",male,jr330,jr330@upc.edu,3,SOAN
Natalie Nash,9966112184,"1269 Joel Village, New Josephshire, WA 54166",female,nn755,nn755@upc.edu,1,PBSC
Ronald Ellison,9720465847,"4115 Melanie Shores Suite 379, Wilsonshire, VA 43126",male,re458,re458@upc.edu,1,GEOG
Robert Perez,9923267462,"27035 Fisher Heights Suite 293, Guerrerohaven, MI 54904",male,rp418,rp418@upc.edu,4,GEOG
Marilyn Curry,9085338581,"1037 Kevin Stream, Dannyland, WI 12172",female,mc191,mc191@upc.edu,3,ENGL
Katherine Lambert,9393898645,"67075 Zoe Lock Apt. 777, North Cherylton, WV 75840",female,kl416,kl416@upc.edu,4,SOAN
Timothy Torres,9781807518,"1930 Craig Gardens Apt. 951, Coleshire, PA 42090",male,tt106,tt106@upc.edu,4,PHAS
Rachel Price,9054546045,"16815 Barker Manors Suite 847, Julieberg, NH 02676",female,rp994,rp994@upc.edu,1,ECON
Elaine Wright,9170628674,"Unit 2025 Box 6383, DPO AE 95952",female,ew589,ew589@upc.edu,4,POSC
Shannon Anderson,9169011390,"165 Ryan Park Suite 290, Wilkersonmouth, MD 51642",female,sa500,sa500@upc.edu,4,THEA
Jordan Watkins,9936800225,"982 Hernandez Route Suite 469, Chaneytown, MS 96703",male,jw454,jw454@upc.edu,2,CLAS
Angela Newman,9383285056,"52805 Peterson Meadows Suite 471, Johnshire, NH 63390",female,an714,an714@upc.edu,3,ARTS
Mike Parsons,9225405566,"825 Thomas Trail, North Matthewstad, MS 55091",male,mp163,mp163@upc.edu,3,POSC
Edward Holt,9555876424,"744 Catherine Drive Suite 291, Lake Roybury, ND 50708",male,eh431,eh431@upc.edu,2,CLAS
Brandi Lewis,9795776565,"Unit 6253 Box 8207, DPO AA 08935",female,bl259,bl259@upc.edu,2,ARTS
Jasmine English,9362949427,"6693 Tammy Springs Suite 166, East Kristin, NV 08415",female,je628,je628@upc.edu,2,HIST
Christopher Gross,9370601411,"402 Ashley Drive Suite 025, Dawnland, HI 13274",male,cg463,cg463@upc.edu,4,ENGL
Matthew Garcia,9902466283,"6141 Brandy Fords Apt. 403, Amberside, AZ 39596",male,mg523,mg523@upc.edu,2,MATH
Andrea Edwards,9566544018,"8454 Antonio Pike, Jamesberg, WA 47501",female,ae644,ae644@upc.edu,2,ARTS
Brittany Howard,9858705702,"96006 Cody Union Apt. 202, Guzmanchester, NC 34103",female,bh843,bh843@upc.edu,4,PHIL
Joseph Morgan,9502491383,"269 Ann Tunnel, Port Kimville, PA 81506",male,jm859,jm859@upc.edu,2,EEGS
Christine Taylor,9038364601,"228 Peter Extension Apt. 828, New Jasmineburgh, KY 73772",female,ct348,ct348@upc.edu,3,MATH
Justin Thompson,9448199726,"Unit 6609 Box 7074, DPO AE 76585",male,jt602,jt602@upc.edu,1,BIOL
